Attention,Meditation,Raw_value,curr_time,curr_date
0,0,80,10:04:54,2017-05-10
54,56,72,10:04:55,2017-05-10
41,50,116,10:04:56,2017-05-10
30,30,58,10:04:57,2017-05-10
20,41,151,10:04:58,2017-05-10
10,34,-5,10:04:59,2017-05-10
37,63,3,10:05:00,2017-05-10
61,63,-52,10:05:01,2017-05-10
84,77,-132,10:05:02,2017-05-10
83,78,90,10:05:03,2017-05-10
66,53,4,10:05:04,2017-05-10
34,56,42,10:05:05,2017-05-10
43,51,210,10:05:06,2017-05-10
27,51,37,10:05:08,2017-05-10
27,47,-25,10:05:09,2017-05-10
30,47,92,10:05:10,2017-05-10
30,51,-23,10:05:11,2017-05-10
66,44,-70,10:05:12,2017-05-10
91,54,33,10:05:13,2017-05-10
78,56,193,10:05:14,2017-05-10
50,74,176,10:05:15,2017-05-10
20,75,83,10:05:16,2017-05-10
20,75,33,10:05:17,2017-05-10
24,91,198,10:05:18,2017-05-10
23,94,-9,10:05:19,2017-05-10
23,94,66,10:05:20,2017-05-10
34,78,-6,10:05:21,2017-05-10
38,48,48,10:05:22,2017-05-10
50,21,-25,10:05:23,2017-05-10
48,48,32,10:05:24,2017-05-10
