Attention,Meditation,Raw_value,curr_time,curr_date
43,16,72,10:08:09,2017-05-10
41,20,131,10:08:10,2017-05-10
40,27,-72,10:08:11,2017-05-10
48,21,-81,10:08:12,2017-05-10
51,14,43,10:08:13,2017-05-10
43,23,-119,10:08:14,2017-05-10
38,17,29,10:08:15,2017-05-10
23,11,-27,10:08:16,2017-05-10
21,17,-24,10:08:17,2017-05-10
24,3,6,10:08:18,2017-05-10
20,1,-24,10:08:19,2017-05-10
27,7,58,10:08:20,2017-05-10
17,1,67,10:08:21,2017-05-10
20,3,-44,10:08:22,2017-05-10
20,14,-119,10:08:23,2017-05-10
4,1,-131,10:08:24,2017-05-10
8,7,75,10:08:25,2017-05-10
23,11,106,10:08:26,2017-05-10
27,3,16,10:08:27,2017-05-10
51,16,45,10:08:28,2017-05-10
63,11,17,10:08:29,2017-05-10
69,10,115,10:08:30,2017-05-10
64,20,29,10:08:31,2017-05-10
47,11,138,10:08:32,2017-05-10
57,20,20,10:08:33,2017-05-10
50,17,-1,10:08:35,2017-05-10
47,4,-24,10:08:36,2017-05-10
0,7,42,10:08:37,2017-05-10
48,11,278,10:08:38,2017-05-10
38,10,-114,10:08:39,2017-05-10
