Attention,Meditation,Raw_value,curr_time,curr_date
29,54,65,10:19:43,2017-05-10
30,63,-379,10:19:44,2017-05-10
23,66,51,10:19:45,2017-05-10
27,63,113,10:19:46,2017-05-10
29,54,6,10:19:47,2017-05-10
40,44,50,10:19:48,2017-05-10
40,50,180,10:19:49,2017-05-10
34,54,93,10:19:50,2017-05-10
44,50,-13,10:19:51,2017-05-10
48,43,53,10:19:52,2017-05-10
63,40,59,10:19:53,2017-05-10
74,38,85,10:19:54,2017-05-10
69,48,140,10:19:55,2017-05-10
56,50,-39,10:19:56,2017-05-10
47,47,37,10:19:57,2017-05-10
35,44,-18,10:19:58,2017-05-10
41,38,184,10:19:59,2017-05-10
40,48,-117,10:20:00,2017-05-10
37,41,19,10:20:01,2017-05-10
60,44,37,10:20:02,2017-05-10
56,43,-10,10:20:03,2017-05-10
74,40,35,10:20:04,2017-05-10
80,51,144,10:20:05,2017-05-10
70,47,179,10:20:06,2017-05-10
66,53,-132,10:20:07,2017-05-10
54,51,12,10:20:08,2017-05-10
47,51,66,10:20:09,2017-05-10
35,56,56,10:20:10,2017-05-10
48,57,65,10:20:11,2017-05-10
53,51,51,10:20:12,2017-05-10
