Attention,Meditation,Raw_value,curr_time,curr_date
91,60,105,10:26:13,2017-05-10
100,67,-99,10:26:14,2017-05-10
94,66,-97,10:26:15,2017-05-10
78,66,86,10:26:16,2017-05-10
69,64,-14,10:26:17,2017-05-10
51,64,-42,10:26:18,2017-05-10
50,70,83,10:26:19,2017-05-10
66,70,23,10:26:20,2017-05-10
77,64,-667,10:26:21,2017-05-10
96,54,55,10:26:22,2017-05-10
88,44,153,10:26:23,2017-05-10
61,38,-134,10:26:24,2017-05-10
57,40,-50,10:26:25,2017-05-10
40,48,-71,10:26:26,2017-05-10
54,54,-71,10:26:27,2017-05-10
53,74,178,10:26:28,2017-05-10
53,74,-161,10:26:29,2017-05-10
50,56,122,10:26:30,2017-05-10
35,67,146,10:26:31,2017-05-10
35,51,0,10:26:32,2017-05-10
27,27,27,10:26:33,2017-05-10
17,34,304,10:26:34,2017-05-10
16,20,67,10:26:35,2017-05-10
3,11,-40,10:26:36,2017-05-10
1,34,-26,10:26:37,2017-05-10
10,38,123,10:26:38,2017-05-10
17,17,178,10:26:39,2017-05-10
43,43,-51,10:26:40,2017-05-10
48,29,71,10:26:41,2017-05-10
50,21,-27,10:26:42,2017-05-10
