Attention,Meditation,Raw_value,curr_time,curr_date
20,20,83,10:27:14,2017-05-10
37,21,115,10:27:15,2017-05-10
38,26,69,10:27:16,2017-05-10
63,43,121,10:27:17,2017-05-10
60,47,136,10:27:18,2017-05-10
54,40,48,10:27:19,2017-05-10
77,40,84,10:27:20,2017-05-10
53,43,234,10:27:21,2017-05-10
48,48,105,10:27:22,2017-05-10
44,53,99,10:27:23,2017-05-10
16,38,104,10:27:24,2017-05-10
20,54,70,10:27:25,2017-05-10
20,54,157,10:27:26,2017-05-10
23,63,120,10:27:27,2017-05-10
27,61,10,10:27:28,2017-05-10
50,48,57,10:27:29,2017-05-10
60,47,69,10:27:30,2017-05-10
57,41,-36,10:27:31,2017-05-10
69,70,40,10:27:32,2017-05-10
30,60,161,10:27:33,2017-05-10
34,64,51,10:27:34,2017-05-10
21,43,104,10:27:35,2017-05-10
17,24,38,10:27:36,2017-05-10
27,27,-18,10:27:37,2017-05-10
17,21,90,10:27:38,2017-05-10
3,50,-7,10:27:39,2017-05-10
11,48,192,10:27:40,2017-05-10
16,40,92,10:27:41,2017-05-10
17,53,150,10:27:42,2017-05-10
37,48,24,10:27:43,2017-05-10
