Attention,Meditation,Raw_value,curr_time,curr_date
57,41,81,10:35:36,2017-05-10
70,48,43,10:35:37,2017-05-10
84,48,-5,10:35:38,2017-05-10
74,60,-139,10:35:39,2017-05-10
75,61,91,10:35:40,2017-05-10
57,63,-1,10:35:41,2017-05-10
50,81,49,10:35:42,2017-05-10
44,88,7,10:35:43,2017-05-10
50,97,34,10:35:44,2017-05-10
64,91,38,10:35:45,2017-05-10
69,88,-24,10:35:46,2017-05-10
70,77,444,10:35:47,2017-05-10
81,63,52,10:35:48,2017-05-10
70,43,133,10:35:49,2017-05-10
74,41,-25,10:35:50,2017-05-10
78,56,43,10:35:51,2017-05-10
53,84,51,10:35:52,2017-05-10
48,93,38,10:35:53,2017-05-10
57,70,16,10:35:54,2017-05-10
60,81,37,10:35:55,2017-05-10
83,75,6,10:35:56,2017-05-10
84,69,42,10:35:57,2017-05-10
69,83,91,10:35:58,2017-05-10
70,84,83,10:35:59,2017-05-10
64,88,37,10:36:00,2017-05-10
61,67,28,10:36:01,2017-05-10
75,66,-2,10:36:02,2017-05-10
78,69,21,10:36:03,2017-05-10
78,67,39,10:36:04,2017-05-10
70,66,66,10:36:05,2017-05-10
