Attention,Meditation,Raw_value,curr_time,curr_date
66,75,390,18:40:06,2017-05-10
63,69,113,18:40:07,2017-05-10
74,75,-30,18:40:08,2017-05-10
67,66,116,18:40:09,2017-05-10
63,63,-12,18:40:10,2017-05-10
56,51,8,18:40:11,2017-05-10
51,47,66,18:40:12,2017-05-10
51,37,25,18:40:13,2017-05-10
56,37,166,18:40:14,2017-05-10
57,27,-106,18:40:15,2017-05-10
56,37,55,18:40:16,2017-05-10
61,56,324,18:40:17,2017-05-10
61,61,38,18:40:18,2017-05-10
66,75,65,18:40:19,2017-05-10
70,78,293,18:40:20,2017-05-10
64,67,-93,18:40:21,2017-05-10
61,66,225,18:40:22,2017-05-10
54,60,265,18:40:23,2017-05-10
48,50,-259,18:40:24,2017-05-10
44,47,10,18:40:25,2017-05-10
