Attention,Meditation,Raw_value,curr_time,curr_date
87,35,73,18:40:53,2017-05-10
84,29,39,18:40:54,2017-05-10
88,29,44,18:40:55,2017-05-10
74,30,133,18:40:56,2017-05-10
74,37,343,18:40:57,2017-05-10
69,30,6,18:40:58,2017-05-10
60,34,80,18:40:59,2017-05-10
64,24,73,18:41:00,2017-05-10
69,29,-55,18:41:01,2017-05-10
69,40,-39,18:41:02,2017-05-10
61,47,108,18:41:03,2017-05-10
57,48,41,18:41:04,2017-05-10
48,54,123,18:41:05,2017-05-10
44,50,57,18:41:06,2017-05-10
44,54,98,18:41:07,2017-05-10
47,63,-5,18:41:08,2017-05-10
50,54,3,18:41:09,2017-05-10
64,54,83,18:41:10,2017-05-10
61,60,136,18:41:11,2017-05-10
61,60,-55,18:41:12,2017-05-10
57,63,218,18:41:13,2017-05-10
57,67,-257,18:41:14,2017-05-10
43,67,-25,18:41:15,2017-05-10
34,63,-142,18:41:16,2017-05-10
34,63,-635,18:41:17,2017-05-10
34,63,-163,18:41:18,2017-05-10
24,47,153,18:41:19,2017-05-10
24,40,161,18:41:20,2017-05-10
30,47,103,18:41:22,2017-05-10
56,53,137,18:41:23,2017-05-10
