Attention,Meditation,Raw_value,curr_time,curr_date
34,63,-66,9:38:58,5/10/2017
43,64,-124,9:38:59,5/10/2017
40,53,-45,9:39:00,5/10/2017
50,48,-119,9:39:01,5/10/2017
48,43,-100,9:39:02,5/10/2017
40,41,28,9:39:03,5/10/2017
48,50,330,9:39:04,5/10/2017
50,69,731,9:39:05,5/10/2017
44,70,437,9:39:06,5/10/2017
53,66,-631,9:39:07,5/10/2017
53,66,140,9:39:08,5/10/2017
178,66,-714,9:39:09,5/10/2017
53,66,-146,9:39:10,5/10/2017
64,53,59,9:39:11,5/10/2017
64,53,-530,9:39:12,5/10/2017
53,40,194,9:39:13,5/10/2017
63,47,103,9:39:14,5/10/2017
51,40,250,9:39:15,5/10/2017
41,47,-270,9:39:16,5/10/2017
50,54,276,9:39:17,5/10/2017
57,51,66,9:39:18,5/10/2017
66,64,118,9:39:19,5/10/2017
64,64,205,9:39:20,5/10/2017
69,61,76,9:39:21,5/10/2017
47,63,-14,9:39:22,5/10/2017
44,66,-55,9:39:23,5/10/2017
30,61,-46,9:39:24,5/10/2017
11,60,224,9:39:25,5/10/2017
13,56,-92,9:39:26,5/10/2017
1,50,-25,9:39:28,5/10/2017
