Attention,Meditation,Raw_value,curr_time,curr_date
0,0,73,09:41:36,2017-05-10
0,0,121,09:41:37,2017-05-10
0,0,208,09:41:38,2017-05-10
0,0,245,09:41:39,2017-05-10
0,0,147,09:41:40,2017-05-10
51,84,36,09:41:41,2017-05-10
29,66,330,09:41:42,2017-05-10
60,66,-65,09:41:43,2017-05-10
44,30,107,09:41:44,2017-05-10
24,35,-90,09:41:45,2017-05-10
24,30,188,09:41:46,2017-05-10
20,27,4,09:41:47,2017-05-10
44,51,216,09:41:48,2017-05-10
54,43,-65,09:41:49,2017-05-10
75,35,122,09:41:50,2017-05-10
69,38,169,09:41:51,2017-05-10
69,38,75,09:41:52,2017-05-10
91,24,224,09:41:53,2017-05-10
84,48,123,09:41:54,2017-05-10
70,48,49,09:41:55,2017-05-10
48,75,140,09:41:56,2017-05-10
20,66,133,09:41:57,2017-05-10
16,56,73,09:41:58,2017-05-10
1,47,116,09:41:59,2017-05-10
8,29,137,09:42:00,2017-05-10
4,17,65,09:42:01,2017-05-10
3,23,-19,09:42:02,2017-05-10
16,34,-25,09:42:03,2017-05-10
11,20,49,09:42:04,2017-05-10
7,38,229,09:42:05,2017-05-10
