Attention,Meditation,Raw_value,curr_time,curr_date
17,74,156,9:56:30,5/10/2017
17,74,218,9:56:31,5/10/2017
17,54,3,9:56:32,5/10/2017
17,51,-2,9:56:33,5/10/2017
17,35,-124,9:56:34,5/10/2017
4,30,74,9:56:35,5/10/2017
3,48,197,9:56:36,5/10/2017
7,69,64,9:56:37,5/10/2017
3,70,-179,9:56:38,5/10/2017
1,63,-33,9:56:39,5/10/2017
1,61,101,9:56:40,5/10/2017
1,41,195,9:56:41,5/10/2017
1,24,-147,9:56:42,5/10/2017
11,14,81,9:56:43,5/10/2017
17,29,7,9:56:44,5/10/2017
17,47,-13,9:56:45,5/10/2017
17,64,64,9:56:46,5/10/2017
20,64,-1,9:56:47,5/10/2017
27,61,-2,9:56:48,5/10/2017
37,50,309,9:56:49,5/10/2017
47,44,27,9:56:50,5/10/2017
43,40,-116,9:56:51,5/10/2017
34,41,99,9:56:53,5/10/2017
23,37,-215,9:56:54,5/10/2017
27,38,-148,9:56:55,5/10/2017
35,51,74,9:56:56,5/10/2017
44,34,-3,9:56:57,5/10/2017
51,40,232,9:56:58,5/10/2017
37,47,-3,9:56:59,5/10/2017
41,57,104,9:57:00,5/10/2017
