Attention,Meditation,Raw_value,curr_time,curr_date
44,66,-6,19:03:39,2017-05-10
67,80,-84,19:03:40,2017-05-10
69,81,-54,19:03:41,2017-05-10
27,51,70,19:03:42,2017-05-10
21,37,25,19:03:43,2017-05-10
17,27,147,19:03:44,2017-05-10
8,27,151,19:03:45,2017-05-10
21,44,170,19:03:46,2017-05-10
40,50,119,19:03:47,2017-05-10
1,67,1,19:03:48,2017-05-10
23,57,35,19:03:49,2017-05-10
20,47,133,19:03:50,2017-05-10
20,38,-27,19:03:51,2017-05-10
23,14,-74,19:03:52,2017-05-10
7,14,86,19:03:53,2017-05-10
20,23,-20,19:03:54,2017-05-10
1,17,86,19:03:55,2017-05-10
1,1,27,19:03:56,2017-05-10
3,4,40,19:03:57,2017-05-10
1,1,297,19:03:58,2017-05-10
16,30,49,19:03:59,2017-05-10
35,56,71,19:04:00,2017-05-10
44,61,16,19:04:01,2017-05-10
43,70,400,19:04:02,2017-05-10
51,70,51,19:04:03,2017-05-10
74,74,-9,19:04:04,2017-05-10
64,70,-52,19:04:05,2017-05-10
91,61,119,19:04:06,2017-05-10
88,61,-149,19:04:07,2017-05-10
81,54,37,19:04:08,2017-05-10
