Attention,Meditation,Raw_value,curr_time,curr_date
74,57,-4,19:04:57,2017-05-10
57,64,-7,19:04:58,2017-05-10
37,64,37,19:04:59,2017-05-10
63,67,80,19:05:00,2017-05-10
87,61,117,19:05:01,2017-05-10
96,56,101,19:05:02,2017-05-10
100,67,23,19:05:03,2017-05-10
94,74,-5,19:05:04,2017-05-10
75,78,12,19:05:05,2017-05-10
64,64,87,19:05:06,2017-05-10
60,50,21,19:05:07,2017-05-10
63,38,197,19:05:08,2017-05-10
56,30,-67,19:05:09,2017-05-10
51,40,-211,19:05:10,2017-05-10
40,47,105,19:05:11,2017-05-10
41,53,90,19:05:12,2017-05-10
53,60,133,19:05:13,2017-05-10
48,66,167,19:05:14,2017-05-10
47,75,-5,19:05:15,2017-05-10
43,80,33,19:05:16,2017-05-10
47,81,-4,19:05:17,2017-05-10
66,77,48,19:05:18,2017-05-10
83,74,84,19:05:19,2017-05-10
87,75,96,19:05:20,2017-05-10
81,70,41,19:05:21,2017-05-10
90,78,-56,19:05:23,2017-05-10
70,87,5,19:05:24,2017-05-10
60,77,59,19:05:25,2017-05-10
69,57,5,19:05:26,2017-05-10
60,61,-6,19:05:27,2017-05-10
