Attention,Meditation,Raw_value,curr_time,curr_date
53,54,64,19:13:59,2017-05-10
48,51,-19,19:14:00,2017-05-10
53,53,37,19:14:01,2017-05-10
80,56,55,19:14:02,2017-05-10
78,44,121,19:14:03,2017-05-10
80,61,113,19:14:04,2017-05-10
70,63,53,19:14:05,2017-05-10
54,74,86,19:14:06,2017-05-10
43,84,108,19:14:07,2017-05-10
38,66,60,19:14:08,2017-05-10
48,54,44,19:14:09,2017-05-10
60,50,54,19:14:10,2017-05-10
54,53,77,19:14:11,2017-05-10
56,61,44,19:14:13,2017-05-10
50,60,77,19:14:14,2017-05-10
51,56,54,19:14:15,2017-05-10
66,47,51,19:14:16,2017-05-10
70,44,99,19:14:17,2017-05-10
83,56,65,19:14:18,2017-05-10
77,66,-5,19:14:19,2017-05-10
81,69,42,19:14:20,2017-05-10
81,81,42,19:14:21,2017-05-10
75,78,82,19:14:22,2017-05-10
81,77,37,19:14:23,2017-05-10
88,77,25,19:14:24,2017-05-10
100,63,40,19:14:25,2017-05-10
97,63,56,19:14:26,2017-05-10
91,61,-13,19:14:27,2017-05-10
70,57,64,19:14:28,2017-05-10
66,56,56,19:14:29,2017-05-10
