Attention,Meditation,Raw_value,curr_time,curr_date
30,34,330,09:13:33,2017-05-10
40,24,-34,09:13:34,2017-05-10
40,24,132,09:13:35,2017-05-10
51,16,57,09:13:36,2017-05-10
41,24,-78,09:13:37,2017-05-10
21,30,-52,09:13:38,2017-05-10
13,37,-82,09:13:39,2017-05-10
1,41,16,09:13:40,2017-05-10
14,34,-54,09:13:41,2017-05-10
20,20,44,09:13:42,2017-05-10
26,47,-75,09:13:43,2017-05-10
29,69,-22,09:13:44,2017-05-10
23,83,-6,09:13:45,2017-05-10
13,84,102,09:13:46,2017-05-10
10,69,-25,09:13:48,2017-05-10
1,44,108,09:13:49,2017-05-10
1,27,-180,09:13:50,2017-05-10
1,27,-60,09:13:51,2017-05-10
7,35,51,09:13:52,2017-05-10
14,30,-23,09:13:53,2017-05-10
14,41,88,09:13:54,2017-05-10
23,37,-770,09:13:55,2017-05-10
37,43,-4,09:13:56,2017-05-10
37,43,-12,09:13:57,2017-05-10
26,38,133,09:13:58,2017-05-10
48,23,73,09:13:59,2017-05-10
50,35,115,09:14:00,2017-05-10
38,50,-20,09:14:01,2017-05-10
53,60,57,09:14:02,2017-05-10
37,66,-116,09:14:03,2017-05-10
