Attention,Meditation,Raw_value,curr_time,curr_date
0,0,242,19:32:34,5/9/2017
0,0,331,19:32:35,5/9/2017
0,0,-60,19:32:36,5/9/2017
27,40,113,19:32:37,5/9/2017
51,40,-405,19:32:38,5/9/2017
51,40,-390,19:32:39,5/9/2017
57,35,93,19:32:40,5/9/2017
44,54,54,19:32:41,5/9/2017
44,54,291,19:32:42,5/9/2017
17,51,262,19:32:43,5/9/2017
21,60,-5,19:32:44,5/9/2017
21,66,176,19:32:45,5/9/2017
24,67,-348,19:32:46,5/9/2017
24,67,-404,19:32:47,5/9/2017
35,66,311,19:32:48,5/9/2017
13,53,-6,19:32:49,5/9/2017
1,40,267,19:32:50,5/9/2017
1,13,266,19:32:51,5/9/2017
4,17,66,19:32:52,5/9/2017
37,26,-324,19:32:53,5/9/2017
48,21,-220,19:32:54,5/9/2017
40,34,-253,19:32:55,5/9/2017
40,35,229,19:32:56,5/9/2017
21,38,214,19:32:57,5/9/2017
10,30,194,19:32:58,5/9/2017
21,29,200,19:32:59,5/9/2017
38,16,58,19:33:00,5/9/2017
40,7,231,19:33:01,5/9/2017
64,10,164,19:33:02,5/9/2017
80,21,-171,19:33:03,5/9/2017
